Country,Papers
United States,49561
China,33231
United Kingdom,9287
Germany,7444
Canada,5090
South Korea,4622
Japan,4187
Singapore,4116
France,3896
Switzerland,3885
Australia,3870
Italy,2318
India,1960
Israel,1902
Netherlands,1561
Sweden,1006
Spain,942
Austria,819
United Arab Emirates,781
Denmark,713
Belgium,648
Russian Federation,545
Finland,475
Saudi Arabia,435
Czech Republic,409
Greece,314
Portugal,286
Poland,281
Brazil,272
Unknown,257
Norway,248
Vietnam,245
TÃ¼rkiye,203
Ireland,187
New Zealand,182
Iran,151
Romania,99
South Africa,98
Luxembourg,82
Qatar,79
Chile,74
Slovenia,72
Hungary,63
Thailand,61
Mexico,56
Argentina,47
Colombia,46
Bangladesh,43
Croatia,42
Pakistan,41
Malaysia,41
Czechia,40
Estonia,40
Egypt,35
Bulgaria,34
Cyprus,34
Lebanon,32
Indonesia,29
Serbia,24
Sri Lanka,22
Kazakhstan,18
Algeria,17
Slovakia,16
Nigeria,14
Tunisia,14
Ukraine,14
Philippines,13
Uruguay,13
Ecuador,11
Peru,11
Kenya,10
Libya,10
Iceland,9
Armenia,9
Latvia,9
Bosnia and Herzegovina,9
Russia,8
Cameroon,8
Malta,8
Morocco,7
Jordan,7
Ethiopia,6
Ghana,6
Iraq,6
Lithuania,4
Rwanda,4
Cuba,3
Uzbekistan,3
Uganda,3
Kingdom of Saudi Arabia,3
Kuwait,3
Costa Rica,3
Bahrain,2
Puerto Rico,2
Nepal,2
State of Palestine,2
Kosovo,2
North Macedonia,2
Zambia,2
Venezuela,2
Sudan,1
Madagascar,1
Benin,1
Bolivia,1
Tanzania,1
Georgia,1
Oman,1
Azerbaijan,1
Mozambique,1
Guyana,1
Gibraltar,1
Belarus,1
Myanmar,1
New Caledonia,1
French Polynesia,1
Liechtenstein,1
Burkina Faso,1
Senegal,1
Malawi,1
Togo,1
Mali,1
