institution,matched_name,city,country_code,latitude,longitude,source,ror_id,openalex_id,score
narrative nights inc.,,,,,,,,,0
Institute of robotics,Institute of Robotics,Sofia,,42.69751,23.32415,openalex,,https://openalex.org/I4391767788,0.0
University of Munich1,,,,,,,,,0
isize.co,,,,,,,,,0
SmartMore2,,,,,,,,,0
University of Oxford3,,,,,,,,,0
University of Oxford2,,,,,,,,,0
SmartMore5,,,,,,,,,0
University of Manitoba1,,,,,,,,,0
4Monash University,,,,,,,,,0
University of Maryland*,"University of Maryland, College Park",College Park,US,38.98067,-76.93692,openalex,,https://openalex.org/I66946132,0.0
Université Laval*,Université Laval,Québec,CA,46.81228,-71.21454,openalex,,https://openalex.org/I43406934,0.0
Data61 / CSIRO†,,,,,,,,,0
Allen Institute for AI,Allen Institute for Artificial Intelligence,Seattle,US,47.60621,-122.33207,openalex,,https://openalex.org/I4210156221,0.0
2360 AI Institute,,,,,,,,,0
"perceptiveio, Inc.","Merck & Co., Inc., Rahway, NJ, USA (United States)",Rahway,US,40.60816,-74.27765,openalex,,https://openalex.org/I1285764155,0.0
National Institute of Informatics†,National Institute of Informatics,Tokyo,JP,35.6895,139.69171,openalex,,https://openalex.org/I184597095,0.0
Zoox∗,,,,,,,,,0
DeepScale∗,,,,,,,,,0
❆❜str❛❝t,,,,,,,,,0
FaceSoft.io,,,,,,,,,0
Center for AI Research,,,,,,,,,0
WATRIX.AI,,,,,,,,,0
Microsoft‡,Microsoft (United States),Redmond,US,47.67399,-122.12151,openalex,,https://openalex.org/I1290206253,0.0
Taobao.com,,,,,,,,,0
Institute for interdisciplinary information core technology(IIISCT),,,,,,,,,0
five.ai,,,,,,,,,0
University of Minnesota†,University of Minnesota,Minneapolis,US,44.97997,-93.26384,openalex,,https://openalex.org/I130238516,0.0
NVIDIA♯,,,,,,,,,0
NICTA*,Data61,Sydney,AU,-33.86785,151.20732,openalex,,https://openalex.org/I42894916,0.0
2d3 Ltd.,,,,,,,,,0
NJUST1,,,,,,,,,0
THU2,,,,,,,,,0
SDU3,,,,,,,,,0
SJTU4,,,,,,,,,0
KAIST*,Korea Advanced Institute of Science and Technology,Daejeon,KR,36.34913,127.38493,openalex,,https://openalex.org/I157485424,0.0
OMNIOUS.AI,,,,,,,,,0
Insta360 Research,,,,,,,,,0
Microsoft1,,,,,,,,,0
miguo.ai,,,,,,,,,0
Pinscreen Inc.,,,,,,,,,0
342dot Inc.,,,,,,,,,0
101.AI,,,,,,,,,0
Amazon3,,,,,,,,,0
Waabi†,,,,,,,,,0
NetMind.AI,,,,,,,,,0
HiDream.ai Inc.,,,,,,,,,0
DeepAuto.ai,,,,,,,,,0
GSK.ai,,,,,,,,,0
Core42,,,,,,,,,0
dRISK.ai,,,,,,,,,0
ETH Z¨urich,,,,,,,,,0
FloppyDisk.AI,,,,,,,,,0
Microsoft∗,Microsoft (United States),Redmond,US,47.67399,-122.12151,openalex,,https://openalex.org/I1290206253,0.0
G42,,,,,,,,,0
POSTECH1,,,,,,,,,0
Synthesia.io,,,,,,,,,0
University of Trento1,,,,,,,,,0
Roblox†,,,,,,,,,0
IN.AI Research,,,,,,,,,0
Bytedance.com,,,,,,,,,0
ALLRIDE.AI,,,,,,,,,0
Unity∗,Unity Health Toronto,Toronto,,43.70643,-79.39864,openalex,,https://openalex.org/I4399598460,0.0
valeo,Valeo (France),Paris,FR,48.85341,2.3488,openalex,,https://openalex.org/I220619192,0.0
S Research,Nathan Kline Institute for Psychiatric Research,Orangeburg,US,41.04649,-73.94958,openalex,,https://openalex.org/I125043107,0.0
Snap Inc.,,,,,,,,,0
University of Birmingham1,,,,,,,,,0
CalmCar4,,,,,,,,,0
Tencent2,,,,,,,,,0
Universit¸e Laval*,,,,,,,,,0
Universidad de M ´alaga,,,,,,,,,0
ISEE.AI,,,,,,,,,0
University of Oxford♠,,,,,,,,,0
DeepMind♣,,,,,,,,,0
Kakao Corp.,Kakao Corporation (South Korea),Jeju City,,33.50972,126.52194,openalex,,https://openalex.org/I4412460149,0.0
University of Ljubljana,University of Ljubljana,Ljubljana,SI,46.05108,14.50513,openalex,,https://openalex.org/I153976015,0.0
"DiDiChuxing4People AI, Inc.","Merck & Co., Inc., Rahway, NJ, USA (United States)",Rahway,US,40.60816,-74.27765,openalex,,https://openalex.org/I1285764155,0.0
3Dwe.ai,,,,,,,,,0
University of Minnesota*,University of Minnesota,Minneapolis,US,44.97997,-93.26384,openalex,,https://openalex.org/I130238516,0.0
Eyecan.ai,,,,,,,,,0
MICS†,Mathématiques et Informatique pour la Complexité et les Systèmes,Gif-sur-Yvette,,48.68333,2.13333,openalex,,https://openalex.org/I4387152683,0.0
IWR.uni-heidelberg.de,,,,,,,,,0
Math.uni-heidelberg.de,,,,,,,,,0
University of Bonn♮,,,,,,,,,0
Google⋆,Google (United States),Mountain View,US,37.38605,-122.08385,openalex,,https://openalex.org/I1291425158,0.0
ISR-Coimbra‡,,,,,,,,,0
Adobe⋆,Adobe Systems (United States),San Jose,US,37.33939,-121.89496,openalex,,https://openalex.org/I1306409833,0.0
University of Bonn†,University of Bonn,Bonn,DE,50.73438,7.09549,openalex,,https://openalex.org/I135140700,0.0
Corp,U.S. Army Corp of Engineers Waterways Experiment Station,Vicksburg,,32.35265,-90.87788,openalex,,https://openalex.org/I4389425429,0.0
"Nuro∗,†",,,,,,,,,0
"ECE†, ASRI†, & IPAI†,§",,,,,,,,,0
Univ. of Pittsburgh*,,,,,,,,,0
iQIYI Inc.,,,,,,,,,0
University A,Texas A&M University,College Station,US,30.62798,-96.33441,openalex,,https://openalex.org/I91045830,0.0
University B,Marshall B. Ketchum University,Fullerton,US,33.87029,-117.92534,openalex,,https://openalex.org/I185234458,0.0
University C,Dr. C. V. Raman University,Kota,IN,22.29507,82.02366,openalex,,https://openalex.org/I3129960170,0.0
´ETS Montreal*,,,,,,,,,0
Blackshark.ai,,,,,,,,,0
H-1 Research,,,,,,,,,0
mAy-I Inc.,,,,,,,,,0
University of Bonn‡,University of Bonn,Bonn,DE,50.73438,7.09549,openalex,,https://openalex.org/I135140700,0.0
Adobe†,Adobe Systems (United States),San Jose,US,37.33939,-121.89496,openalex,,https://openalex.org/I1306409833,0.0
Affiliation1,,,,,,,,,0
Affiliation2,,,,,,,,,0
Affiliation3,,,,,,,,,0
A9,,,,,,,,,0
Amazon+2,Université Rennes 2,Rennes,FR,48.11198,-1.67429,openalex,,https://openalex.org/I3124938446,0.0
UCLA3,,,,,,,,,0
Graphen.ai,,,,,,,,,0
Altizure.com,,,,,,,,,0
Tensorﬂight,,,,,,,,,0
RSVP.ai,,,,,,,,,0
Microsoft*†,Microsoft (United States),Redmond,US,47.67399,-122.12151,openalex,,https://openalex.org/I1290206253,0.0
inchitech,,,,,,,,,0
dsm-firmenich,,,,,,,,,0
X-ERA.ai,,,,,,,,,0
PicUp.Ai,,,,,,,,,0
i3 LLC,,,,,,,,,0
University of Sydney⁵,The University of Sydney,Sydney,AU,-33.86785,151.20732,openalex,,https://openalex.org/I129604602,0.0
---,,,,,,,,,0
Qualtrics*,,,,,,,,,0
AI Research,AI Signal Research (United States),Huntsville,US,34.7304,-86.58594,openalex,,https://openalex.org/I4210111032,0.0
Megvii(Face++) Inc,"Merck & Co., Inc., Rahway, NJ, USA (United States)",Rahway,US,40.60816,-74.27765,openalex,,https://openalex.org/I1285764155,0.0
Booking.com,,,,,,,,,0
Institute of artiﬁcial intelligence,,,,,,,,,0
hellovera.ai,,,,,,,,,0
University of Siegen2,,,,,,,,,0
Qihoo-360,Qihoo 360 (China),Beijing,CN,39.9075,116.39723,openalex,,https://openalex.org/I4210092299,0.0
twentybn,,,,,,,,,0
yianilos,,,,,,,,,0
National Taiwan Univ.,,,,,,,,,0
Microsoft*,Microsoft (United States),Redmond,US,47.67399,-122.12151,openalex,,https://openalex.org/I1290206253,0.0
University of Iowa1,,,,,,,,,0
Yandex1,,,,,,,,,0
Tencent†,Tencent (China),Shenzhen,CN,22.54554,114.0683,openalex,,https://openalex.org/I2250653659,0.0
Waabi1,,,,,,,,,0
University of Oxford∗,University of Oxford,Oxford,GB,51.75222,-1.25596,openalex,,https://openalex.org/I40120149,0.0
INEEJI†,,,,,,,,,0
Contract.fit,,,,,,,,,0
KAIST†,Korea Advanced Institute of Science and Technology,Daejeon,KR,36.34913,127.38493,openalex,,https://openalex.org/I157485424,0.0
UNIST†,Ulsan National Institute of Science and Technology,Ulsan,KR,35.53722,129.31667,openalex,,https://openalex.org/I48566637,0.0
Vchar.ai‡,,,,,,,,,0
Amazon§,Amazon (United States),Seattle,US,47.60621,-122.33207,openalex,,https://openalex.org/I1311688040,0.0
University of Wollongong1,,,,,,,,,0
University of Sydney2,,,,,,,,,0
242dot Inc.,,,,,,,,,0
Waymo+⇤,,,,,,,,,0
HiDream.ai Inc,,,,,,,,,0
Shopee†‡,,,,,,,,,0
Shopee†,,,,,,,,,0
KAUST1,,,,,,,,,0
T¨ubingen University,,,,,,,,,0
NIO2,,,,,,,,,0
CODE42.ai,,,,,,,,,0
University of Oxford♯,,,,,,,,,0
Y ork University,,,,,,,,,0
Riiid! AI Research,,,,,,,,,0
College de France,,,,,,,,,0
mofl Inc.,,,,,,,,,0
inner mongolia university,Inner Mongolia University,Hohhot,CN,40.81056,111.65222,openalex,,https://openalex.org/I2722730,0.0
eim,Evidence In Motion,San Antonio,,29.42412,-98.49363,openalex,,https://openalex.org/I4400008949,0.0
Research institutes of Sweden,RISE Research Institutes of Sweden,Gothenburg,SE,57.70716,11.96679,openalex,,https://openalex.org/I2800664555,0.0
ifA,Institute for Energy Technology,Lillestrøm,NO,59.95597,11.04918,openalex,,https://openalex.org/I3130438513,0.0
chubu university,Chubu University,Kasugai,JP,35.24762,136.97229,openalex,,https://openalex.org/I184937672,0.0
lastminute.com group,,,,,,,,,0
kyunghee univ,,,,,,,,,0
Point72,,,,,,,,,0
baichuan,,,,,,,,,0
2077AI,,,,,,,,,0
genbio,,,,,,,,,0
Ingenix.ai,,,,,,,,,0
Ingenix.AI,,,,,,,,,0
shanghai AI lab,Shanghai Artificial Intelligence Laboratory,Shanghai,,31.22222,121.45806,openalex,,https://openalex.org/I4391012619,0.0
bestpay,,,,,,,,,0
beijing institute of technology,Beijing Institute of Technology,Beijing,CN,39.9075,116.39723,openalex,,https://openalex.org/I125839683,0.0
independent,Ann Arbor Center for Independent Living,Ann Arbor,US,42.27756,-83.74088,openalex,,https://openalex.org/I4210140958,0.0
tarim university,Tarim University,Aral,CN,40.54184,81.26566,openalex,,https://openalex.org/I3129293551,0.0
H Company,,,,,,,,,0
"LLC ""LogicYield""",,,,,,,,,0
Emergence.AI,,,,,,,,,0
salesforce.com,,,,,,,,,0
vivestudios,,,,,,,,,0
Netmind.ai,,,,,,,,,0
constructor university,Constructor University,Bremen,DE,53.07582,8.80717,openalex,,https://openalex.org/I193619901,0.0
smaremore,,,,,,,,,0
yangzhou university,Yangzhou University,Yangzhou,CN,32.39722,119.43583,openalex,,https://openalex.org/I78978612,0.0
illinois institute of technology,Illinois Institute of Technology,Chicago,US,41.85003,-87.65005,openalex,,https://openalex.org/I180949307,0.0
southwest jiaotong university,Southwest Jiaotong University,Chengdu,CN,30.66667,104.06667,openalex,,https://openalex.org/I4800084,0.0
xiaomi,Xiaomi (China),Beijing,CN,39.9075,116.39723,openalex,,https://openalex.org/I862669128,0.0
dji,Deutsches Jugendinstitut,Munich,DE,48.13743,11.57549,openalex,,https://openalex.org/I4210135822,0.0
kunlun,,,,,,,,,0
Sentinal4D,,,,,,,,,0
deepglint,Deepglint (China),Beijing,,39.9075,116.39723,openalex,,https://openalex.org/I4401726936,0.0
xuezhilixing,,,,,,,,,0
xiaomi corporation,,,,,,,,,0
digiLab,,,,,,,,,0
lastminute.com,,,,,,,,,0
lastminute,,,,,,,,,0
zte,ZTE (China),Shenzhen,CN,22.54554,114.0683,openalex,,https://openalex.org/I4210098582,0.0
Houmo.AI,,,,,,,,,0
zhipuAI,,,,,,,,,0
bigai,Beijing Institute for General Artificial Intelligence,Beijing,,39.9075,116.39723,openalex,,https://openalex.org/I4392738278,0.0
mobvoi,,,,,,,,,0
Eigent.Ai,,,,,,,,,0
AI21,,,,,,,,,0
AI21labs,,,,,,,,,0
AI21 labs,,,,,,,,,0
Ai21,,,,,,,,,0
geely ai lab,,,,,,,,,0
software research institute,"Advanced Science, Technology & Management Research Institute of Kyoto",Kyoto,JP,35.02107,135.75385,openalex,,https://openalex.org/I4210094023,0.0
deepsense.ai,,,,,,,,,0
Nace.AI,,,,,,,,,0
starguest.ai,,,,,,,,,0
university of texas at dallas,The University of Texas at Dallas,Richardson,US,32.94818,-96.72972,openalex,,https://openalex.org/I162577319,0.0
H.ai,,,,,,,,,0
tsinglink,,,,,,,,,0
Voxel51,,,,,,,,,0
ugaiforge.ai,,,,,,,,,0
Predera.AI,,,,,,,,,0
private,Applied Science Private University,Amman,JO,31.95522,35.94503,openalex,,https://openalex.org/I146367977,0.0
cyber security,European Network for Cyber Security,The Hague,NL,52.07667,4.29861,openalex,,https://openalex.org/I4210165920,0.0
KC-ML2,,,,,,,,,0
infini-ai,,,,,,,,,0
cnnic,China Internet Network Information Center,Beijing,CN,39.9075,116.39723,openalex,,https://openalex.org/I4210100200,0.0
Skan.ai,,,,,,,,,0
deepwisdom,,,,,,,,,0
datatist,,,,,,,,,0
datastory,,,,,,,,,0
vivo mobile communication,,,,,,,,,0
nncollective,,,,,,,,,0
imec,IMEC,Leuven,BE,50.87959,4.70093,openalex,,https://openalex.org/I4210114974,0.0
sea group,,,,,,,,,0
tsinghua university,Tsinghua University,Beijing,CN,39.9075,116.39723,openalex,,https://openalex.org/I99065089,0.0
shanghai matwings technology,,,,,,,,,0
Collov.ai,,,,,,,,,0
mbue.ai,,,,,,,,,0
mthreads,,,,,,,,,0
Pixocial.com,,,,,,,,,0
oxa,Thion Medical (France),Tours,FR,47.39484,0.70398,openalex,,https://openalex.org/I4210127454,0.0
iart.ai,,,,,,,,,0
gan.ai,,,,,,,,,0
Gan.ai,,,,,,,,,0
hkustgz,,,,,,,,,0
university of cambridge,University of Cambridge,Cambridge,GB,52.2,0.11667,openalex,,https://openalex.org/I241749,0.0
Leonardo.Ai,,,,,,,,,0
Abacus.ai,,,,,,,,,0
seyso,,,,,,,,,0
tencent,Tencent (China),Shenzhen,CN,22.54554,114.0683,openalex,,https://openalex.org/I2250653659,0.0
theori,,,,,,,,,0
Maum.ai,,,,,,,,,0
icodeformybhasa,,,,,,,,,0
"rinna Co., Ltd.",AGRF Ltd,Brisbane,AU,-27.46794,153.02809,openalex,,https://openalex.org/I4210154382,0.0
uef,University of Eastern Finland,Kuopio,FI,62.89238,27.67703,openalex,,https://openalex.org/I175532246,0.0
futureverse,,,,,,,,,0
iim,Instituto de Investigacións Mariñas,Vigo,ES,42.23282,-8.72264,openalex,,https://openalex.org/I4210101760,0.0
sapeon,,,,,,,,,0
Udeer.AI,,,,,,,,,0
pixiv Inc.,,,,,,,,,0
Games24x7,,,,,,,,,0
lg ai research,LG AI Research (South Korea),Seoul,,37.566,126.9784,openalex,,https://openalex.org/I4412460287,0.0
henan normal university,Henan Normal University,Xinxiang,CN,30.49999,108.27278,openalex,,https://openalex.org/I75955062,0.0
drug administration,United States Food and Drug Administration,Silver Spring,US,38.99067,-77.02609,openalex,,https://openalex.org/I1320320070,0.0
zhipu,Zhipu AI (China),Beijing,,39.9075,116.39723,openalex,,https://openalex.org/I4401726915,0.0
Okra.ai,,,,,,,,,0
XSense.ai Inc.,,,,,,,,,0
nwpu,Northwestern Polytechnical University,Xi'an,CN,34.25833,108.92861,openalex,,https://openalex.org/I17145004,0.0
Zdrive.ai,,,,,,,,,0
zhimeifenghua,,,,,,,,,0
li auto,,,,,,,,,0
senseauto,,,,,,,,,0
Meteum.AI,,,,,,,,,0
tsinghua-berkeley shenzhen institute,Tsinghua–Berkeley Shenzhen Institute,Shenzhen,CN,22.54554,114.0683,openalex,,https://openalex.org/I4210114105,0.0
us research center,Western Ecological Research Center,Sacramento,,38.58157,-121.4944,openalex,,https://openalex.org/I4387152364,0.0
Parametrix.AI,,,,,,,,,0
revirtx AI lab,,,,,,,,,0
Observe.AI,,,,,,,,,0
nih,National Institutes of Health,Bethesda,US,38.98067,-77.10026,openalex,,https://openalex.org/I1299303238,0.0
Signal1,,,,,,,,,0
University of tianjin of china,,,,,,,,,0
Molecule.one,,,,,,,,,0
Universidade federal fluminense,Universidade Federal Fluminense,Niterói,BR,-22.88333,-43.10361,openalex,,https://openalex.org/I161127581,0.0
zhejiang normal university,Zhejiang Normal University,Jinhua,CN,29.10678,119.64421,openalex,,https://openalex.org/I135237710,0.0
university of strasbourg,Université de Strasbourg,Strasbourg,FR,48.58392,7.74553,openalex,,https://openalex.org/I68947357,0.0
"ZHEJIANGDAHUATECHNOLOGYCO.,LTD",AGRF Ltd,Brisbane,AU,-27.46794,153.02809,openalex,,https://openalex.org/I4210154382,0.0
D4C,,,,,,,,,0
private researcher),,,,,,,,,0
iLambda Inc.,,,,,,,,,0
JD. Inc,,,,,,,,,0
Institute of computational biology,,,,,,,,,0
Vernacular.ai,,,,,,,,,0
CMU†,Carnegie Mellon University,Pittsburgh,US,40.44062,-79.99589,openalex,,https://openalex.org/I74973139,0.0
Facebook†,Meta (Israel),Tel Aviv,IL,32.08088,34.78057,openalex,,https://openalex.org/I2252078561,0.0
Cisco+2,Université Rennes 2,Rennes,FR,48.11198,-1.67429,openalex,,https://openalex.org/I3124938446,0.0
UIUC✠,University of Illinois Urbana-Champaign,Urbana,US,40.11059,-88.20727,openalex,,https://openalex.org/I157725225,0.0
University of Chicago✠,University of Chicago,Chicago,US,41.85003,-87.65005,openalex,,https://openalex.org/I40347166,0.0
HBKU,Hamad bin Khalifa University,Doha,QA,25.28545,51.53096,openalex,,https://openalex.org/I4210144839,0.0
Stardust.AI,,,,,,,,,0
harmony.ai,,,,,,,,,0
University of Arizona,University of Arizona,Tucson,US,32.22174,-110.92648,openalex,,https://openalex.org/I138006243,0.0
"wei Co., Ltd",AGRF Ltd,Brisbane,AU,-27.46794,153.02809,openalex,,https://openalex.org/I4210154382,0.0
Microsoft♡,,,,,,,,,0
Google♣,,,,,,,,,0
Smartor.me,,,,,,,,,0
EleutherAI2,,,,,,,,,0
HiDream.ai,,,,,,,,,0
University College London2,,,,,,,,,0
King’s College London3,,,,,,,,,0
Microsoft2,,,,,,,,,0
summary.ai,,,,,,,,,0
Harmony.AI,,,,,,,,,0
301.ai,,,,,,,,,0
IIT Delhi‡,Indian Institute of Technology Delhi,New Delhi,IN,28.62137,77.2148,openalex,,https://openalex.org/I68891433,0.0
IN.AI Research♡,,,,,,,,,0
trivago N.V.,,,,,,,,,0
ByteDance2,,,,,,,,,0
ByteDance†,ByteDance (China),Beijing,,39.9075,116.39723,openalex,,https://openalex.org/I4406742408,0.0
MBZUAI2,,,,,,,,,0
University of Alberta♢,,,,,,,,,0
rinna Co. Ltd.,,,,,,,,,0
Amazon⋆,Amazon (United States),Seattle,US,47.60621,-122.33207,openalex,,https://openalex.org/I1311688040,0.0
AI4Bharat2,,,,,,,,,0
Microsoft4,,,,,,,,,0
University of Hawai’i at M ¯anoa,,,,,,,,,0
ByteDance♣,,,,,,,,,0
Bloomberg♠,,,,,,,,,0
Bloomberg♡,,,,,,,,,0
Forethought.AI,,,,,,,,,0
AI-Research.id,,,,,,,,,0
Bahasa.ai,,,,,,,,,0
BYJU’s LAB,,,,,,,,,0
Corresponding author,,,,,,,,,0
Amazon♣♠,,,,,,,,,0
Openstream.ai,,,,,,,,,0
UCSB∗,"University of California, Santa Barbara",Santa Barbara,US,34.42083,-119.69819,openalex,,https://openalex.org/I154570441,0.0
Xiaoniao.AI,,,,,,,,,0
University of Maryland∗,"University of Maryland, College Park",College Park,US,38.98067,-76.93692,openalex,,https://openalex.org/I66946132,0.0
Tournafest∗,,,,,,,,,0
University of Illinois∗,University of Illinois Urbana-Champaign,Urbana,US,40.11059,-88.20727,openalex,,https://openalex.org/I157725225,0.0
University of Chicago4,,,,,,,,,0
NVIDIA§,Nvidia (United States),Santa Clara,US,37.35411,-121.95524,openalex,,https://openalex.org/I4210127875,0.0
Kata.ai,,,,,,,,,0
